name	menu	course	preptime	calories	price	allergens	description																																																								
Buttermilk Crispy Tenders	chicken	entree	60	550	55000		"Buttermilk Crispy Tenders are battered, breaded to perfection, and made with all white-meat chicken, with no artificial preservatives, colors or flavors. Perfect for dipping with our sweet and tangy Signature Sauce."																																																								
Sweet N Spicy Honey BBQ Glazed Tenders	chicken	entree	40	890	40000	cheese	"For our new Sweet N‘ Spicy Honey BBQ Glazed Tenders, we put a twist on classic Honey BBQ for a glaze that’s sweet, with just a hint of spice. Our tenders are made with all white meat chicken, hand-tossed and glazed to order so every bite packs bold flavor. Perfect for sharing—or keeping for yourself."																																																								
Buldak Chicken	chicken	entree	60	550	70000		"One of the dishes that should taste when coming to Korea is the fried chicken. The large pieces of chicken are fried and then the sauce with spicy chili can make you both eat and broth, but not so that one can deny the taste of them."																																																								
Fried chicken	chicken	entree	30	300	30000		"Fried chicken has long been popular with many, especially children love. Fried Chicken is also the main dish of the famous restaurants, KFC, Lotteria, Texas Chicken. Fried chicken is usually served with Cola beverage, in the United States 70% prefer to eat fried chicken."																																																								
Cheese Chicken	chicken	entree	100	700	42000	cheese	Chicken cheese is a trend in community fever in recent days. Soft chicken blended with the characteristic sauce of each restaurant is coated on fatty cheese. Discover the restaurant with chicken cheese delicious received the praise of many people nhé!																																																								
Chicken wrapped with sticky rice	chicken	entree	800	120	60000		"Chicken spinach is a very popular dish and often appears in the solemn party of the Vietnamese. Spicy Chicken is not only the natural sweet taste of chicken and the flavor of the spice, this dish also attracts diners from sight and smell."																																																								
Grilled chicken horizontal	chicken	entree	750	120	55000		"Grilled chicken breasts when soaked in a super-quick marinade — with balsamic, brown sugar, and dried thyme"																																																								
Tomato and Herb Salad With Goats	salads	appetizer	15	50	45000		"a delicious salad as a potential Christmas Day recipe. This dish is fresh, healthy and easy to create."																																																								
Fruit salad with coconut milk	salads	appetizer	5	20	45000		"With fresh ingredients and freshly-prepared ingredients, the fruit salad is a great choice for weekend gatherings, which have a good cooling effect."																																																								
Salad egg	salads	appetizer	10	60	40000		"This classic egg salad recipe features foolproof hard-boiled eggs, homemade mayonnaise, mustard and crunchy mix-in’s. Perfect for a light meal or sandwiches all year long."																																																								
Side Salad	salads	appetizer	10	70	30000		"Freshly prepared side salad with crisp chopped romaine, baby spinach, baby kale, red leaf lettuce, ribbon cut carrots, tasty grape tomatoes and served with your choice of Newman's Own Dressing."																																																								
Southwest Buttermilk Crispy Chicken Salad	salads	appetizer	10	50	48000		"Buttermilk crispy chicken salad made with all white meat chicken filet and no added colors. A Southwest salad layered with savory black beans, roasted corn and tomatoes, and poblano peppers. Sprinkled with cheddar and jack cheeses, chili-lime tortilla strips and cilantro. All atop crisp chopped romaine, baby spinach, baby kale, red leaf lettuce and ribbon cut carrots. Plus, a fresh lime wedge and Newman's Own Southwest Dressing."																																																								
Creamy pasta salad	salads	appetizer	25	100	52000		Perfect on its own for a light meal or as a side dish for all the summer potlucks and barbecues. This pasta salad is better than any deli salad you can buy at the store!																																																								
Green Salad	salads	appetizer	10	50	42000		"The green salad is a timeless staple and is at home during any meal. As a side for a decadent brunch, or the a main dish for lunch to an appetizer course for dinner. These salads are delicious, simple and sure to please. From classic Caesar salad to a lemony Waldorf salad, here are Food and Wine’s favorite green salads."																																																								
Black Forest Ham	salads	appetizer	10	110	59000		"The Black Forest Ham chopped salad is a flavorful way to enjoy a Subway favorite. Sliced ham, lettuce, and a pile of your favorite veggies - all tossed with your choice of dressing."																																																								
Chicken and Bacon Ranch	salads	appetizer	20	540	89000		"The Chicken and Bacon Ranch Melt chopped salad has tender all-white meat chicken with seasoning and marinade, topped with Monterey cheddar cheese, and bacon. All on top of crunchy greens and your choice of dressing. Aw yeah."																																																								
Veggie Delite	salads	appetizer	15	60	49000		"Enjoy the simpler things? The Veggie Delite chopped salad is simply delish. A pile of your favorite veggies, finished with the dressing of your choice. Crisp. Delicious. All for you."																																																								
World Famous Fries	snacks	dessert	30	150	40000		"Our French fries are born from premium potatoes such as the Russet Burbank and the Shepody. With 0g of trans fat per labeled serving, these epic fries are crispy and golden on the outside and fluffy on the inside."																																																								
Hotcakes	snacks	dessert	40	783	33000		"Three golden brown, melt-in-your-mouth hotcakes with a side of real butter and the sweet flavor of maple."																																																								
Apple Slices	snacks	dessert	5	55	32000		"A wholesome, tasty side made from real apples. Specially selected varieties mean our apple slices are always crisp and juicy, making for a tasty snack with 15 calories per labelled serving."																																																								
Fruit and Yogurt Parfait	snacks	dessert	15	200	35000		"Creamy Fruit ‘N Yogurt Parfait with low-fat vanilla yogurt, layers of plump blueberries and sweet strawberries, and a crunchy granola topping. Available at participating restaurants"																																																								
Yoplait GO GURT Low Fat Strawberry Yogurt	snacks	dessert	10	60	35000		"Made exclusively for McDonald’s, Yoplait GO-GURT Low Fat Strawberry Yogurt – with 25% less sugar than the leading kids’ yogurt – is a low fat yogurt that’s a good source of calcium and free from artificial preservatives, flavors or added colors from artificial sources."																																																								
Pizza Pinwheels	snacks	dessert	15	50	70000		"Pizza Pinwheels are so easy to make, and would be a great after school snack or finger food for a party or get together. With just a few ingredients, they come together in just minutes!"																																																								
Dark Chocolate Mousse	snacks	dessert	30	578	56000		"This dessert is a chocoholic's dream of rich, intense and delicious flavours. Make it ahead to serve as the star of your next dinner party."																																																								
Chocolate Lava Pudding	snacks	dessert	20	400	45000		Add a little lava to your life with these yummy chocolate lava cakes. The best bit is how simple they are to make!																																																								
Minute Maid Premium Orange Juice	drinks	drinks	10	380	42000		"100% orange juice, packed with Vitamin C. Available in Small, Medium and Large"																																																								
CocaCola	drinks	drinks	5	20	30000		"Coca-Cola, a cold and refreshing complement to all of our menu items. Enjoy a refreshing Coke at McDonald’s in Extra Small, Small, Medium and Large."																																																								
MIX by Sprite Tropic Berry	drinks	drinks	5	50	40000		"MIX by Sprite Tropic Berry takes the classic, crisp lemon-lime taste of Sprite to the next level with a tropically inspired blend of strawberry, orange and pineapple flavors. MIX by Sprite Tropic Berry is made with natural flavors and caffeine-free. Try one today, exclusively at McDonald’s. Available in Extra Small, Small, Medium and Large."																																																								
Fat Free Chocolate Milk Jug	drinks	drinks	5	160	40000		"A handheld chocolate milk jug, full of fat free chocolate milk, an excellent source of Calcium and Vitamin D."																																																								
Diet Coke	drinks	drinks	5	70	35000		"Icy cold Diet Coke, with zero calories. Fountain drink available in Extra Small, Small, Medium and Large."																																																								
Iced Tea	drinks	drinks	5	100	40000		"A refreshing drink of McDonald’s Iced Tea, freshly brewed with a brisk blend of orange pekoe and pekoe cut black tea, served ice cold. Available in Extra Small, Small, Medium and Large."																																																								
Dr Pepper	drinks	drinks	5	100	29000		"Every sip of a Dr Pepper fountain drink is truly unique. Available in Extra Small, Small, Medium, and Large."																																																								
Honest Kids Appley Ever After Organic Juice Drink	drinks	drinks	5	900	40000		"Sweetened only with fruit juice, and it's organic."																																																								
Hot Chocolate	drinks	drinks	15	560	40000		"Taste the delicious chocolaty flavor of a McCafé hot chocolate. Hot chocolate made with steamed whole or nonfat milk, rich chocolate syrup, and topped with whipped topping and chocolate drizzle."																																																								
Vanila Cone	desserts	dessert	5	100	40000		"Enjoy a treat made with sweet, creamy vanilla soft serve in a crispy cone. Available at participating restaurants."																																																								
Strawberry and Creme Pie	desserts	dessert	5	150	40000		"A sweet and creamy Strawberry and Crème Pie made with strawberries and vanilla flavored crème, baked side by side in a sugar-coated crust."																																																								
Hot Fudge Sundae	desserts	dessert	10	200	45000		"A classic hot fudge sundae made with vanilla soft serve, smothered in chocolaty fudge sauce."																																																								
McFlurry with MnM Candies	desserts	dessert	15	459	45000		"A sweet, creamy MandM’S dessert of vanilla soft serve with MandM'S chocolate candies swirled in. Available in Regular Size and Snack Size."																																																								
McFlurry with OREO Cookies	desserts	dessert	15	560	45000		"A creamy, sweet McDonald’s McFlurry with vanilla soft serve with OREO Cookies mixed in. Available in Regular Size and Snack Size."																																																								
Chocolate Chip Cookies	desserts	dessert	20	421	37000		"Our classic chocolate chip cookie, loaded with chocolate chips and baked to soft, warm perfection. Available at participating restaurants."																																																								
Strawberry Shake	desserts	dessert	20	400	39000		"Strawberry Shake made with creamy vanilla soft serve, blended with strawberry flavored deliciousness, topped with whipped topping. Available in Small, Medium, and Large"																																																								
Strawberry Sundae	desserts	dessert	20	679	39000		Creamy vanilla soft serve topped with sliced strawberries in a sweet and tart strawberry topping.																																																								
Fruit and Maple Oatmeal	desserts	dessert	15	1000	40000		"Our Fruit and Maple Oatmeal starts with two full servings of whole-grain oats and a touch of cream. It’s loaded with red and green apples, cranberries and two varieties of raisins for a hearty, wholesome breakfast of whole-grain oatmeal and fruit. And you can have it just how you like it, with or without brown sugar."																																																								
Pho Bo	viet	entree	20	1000	39000		"Pho is a traditional system of Vietnam, also a be look in the gift for the food for the background Vietnamese cuisine. City of pho is noodle and water use (or water in the domain male) with sliced ??beef or chicken. Also included as the family: equivalent, pepper, lemon, sauce, chili ... These app is added to the user of the location. Pho used at the point of point or night, but in the city of the item was rewarded in the day. The region of South Vietnam and the region of Vietnam. However at Hà N?i, no disk live. Pho is usually beef noodle soup or chicken noodle soup, but they are also other like beef noodle soup, shrimp pho, pho pho, though not successful."																																																								
Bun Bo Hue	viet	entree	30	1200	39000		"Bún b? Hu? is one of the special products of Hu?, default if the gift from this place is already exists. In Hue, this item is called simply ""beef noodle"". Other methods are ""Hue beef noodle"" for the origin of the item. Dish eat with primary data is vermicelli, beef, pork, same as use red color. Double beef, crab cakes, and other materials."																																																								
Ca Kho To	viet	entree	50	2000	48000		"Braised fish is a popular dish that many people love. With the way to make this fish you will have fragrant fish meat, fatty meat without fatty fish. The larger the fish, the less bone, if you use basa fish you will have soft fish and fat more. This is eaten on cool days, rainy days or winter, it is very expensive!"																																																								
Banh Cuon	viet	entree	45	1100	36000		"Cake roll is a type of food made from steamed rice flour coated thin, curled, inside padded vegetables or meat."																																																								
Banh Xeo	viet	entree	40	2400	37000		"Banh Xeo is a kind of cake made from flour popular in Vietnam, pancake version of Japan and Korea with powder outside, shrimp inside inside, meat, bean sprouts; kimchi, potatoes, chives, seafood (Korean pancakes); shrimp, meat, cabbage (Japan) is yellowed, molded into a circle or folded into a semicircle. Depending on the locality in Vietnam, the cake is enjoyed with its own characteristics. There are usually two styles: crispy pancakes and crispy pancakes."																																																								
Banh Beo	viet	entree	35	980	30000		"In the Central, duck cakes are usually divided into two types are Quang Nam duck cakes and Hue duck cakes. Quang Nam cakes are thick and thick, with a variety of cooked pasta consisting of meat, minced shrimp, chives, with a little onion, minced chilli. Hue cakes are slightly different, thin breads, dried shrimp powder, when eaten with crispy pork skin. Central rice dumplings are made of cups (cake cups). Arriving in the South, the duckweed has many different styles, but usually with many different types of cakes and spices, making the taste of the dough cake lose a bit."																																																								
Bun Cha	viet	entree	40	3270	39000		"Vermicelli is a dish with vermicelli, roast pork grilled on the charcoal and bowl of sour sauce spicy salty sweet. Dishes originated from North Vietnam, which is the most durable gift of Hanoi, [1] can be considered as one of the typical specialties of Hanoi cuisine. The vermicelli is similar in taste to the barbeque noodles in the Central and the South, but the sauce is slightly lighter in taste."																																																								
Bot Chien	viet	entree	15	1223	35000		"Fried flour is a simple dish originating from China, imported into Vietnam and served as a snack, breakfast or late-night familiar in Saigon area as well as some other places. Dough powder in Vietnam is mainly processed by the Vietnamese and sell so it is not much different than the original."																																																								
Chilaquiles	mexican	appetizer	60	387	120000		"This popular traditional breakfast dish features lightly fried corn tortillas cut into quarters and topped with green or red salsa (the red is slightly spicier). Scrambled or fried eggs and pulled chicken are usually added on top, as well as cheese and cream. Chilaquiles are often served with a healthy dose of frijoles (refried beans)."																																																								
Pozole	mexican	appetizer	45	682	140000		"According to anthropologists, this pre-Hispanic soup was once used as part of ritual sacrifices. These days chicken, pork and vegetarian pozole versions are readily available in more everyday surroundings. Made from hominy corn with plenty of herbs and spices, the dish is traditionally stewed for hours, often overnight. Once it's ready to serve, lettuce, radish, onion, lime and chilli are sprinkled on top."																																																								
Tacos Al Pastor	mexican	appetizer	45	576	150000		"This historic dish is one of the most popular varieties of tacos, with origins dating back to the 1920s and 30s and the arrival of Lebanese and Syrian immigrants to Mexico. To create tacos al pastor (meaning ‘in the style of the shepherd’), thin strips of pork are sliced off a spit, placed on a corn tortilla and served with onions, coriander leaves and pineapple."																																																								
Enchiladas	mexican	appetizer	50	374	140000		"Enchiladas date back to Mayan times, when people in the Valley of Mexico would eat corn tortillas wrapped around small fish. These days both corn and flour tortillas are used and are filled with meat, cheese, seafood, beans, vegetables or all of the above. The stuffed tortillas are then covered in a chilli sauce, making for a perfect Mexican breakfast."																																																								
Tamales	mexican	appetizer	30	562	155000		"Tamales were first developed for the Aztec, Mayan and Inca tribes who needed nourishing food on the go to take into battle. Pockets of corn dough are stuffed with either a sweet or savoury filling, wrapped in banana leaves or corn husks, then steamed. Fillings vary from meats and cheeses to fruits, vegetables, chillies and mole. Remember to discard the wrapping before eating!"																																																								
